x,y1,y2,y3,y4,y5,y6,y7,y8
0,3.67,1.293,1.006,0.0244,18.73,17.218,13.32,0.711
5,3.61,1.270,1.006,0.0247,19.37,17.468,13.76,0.710
10,3.54,1.247,1.006,0.0251,20.02,17.716,14.20,0.709
15,3.48,1.226,1.006,0.0255,20.68,17.962,14.66,0.709
20,3.42,1.205,1.006,0.0259,21.35,18.206,15.11,0.708
25,3.36,1.184,1.006,0.0262,22.02,18.448,15.58,0.707
30,3.31,1.165,1.007,0.0266,22.71,18.689,16.05,0.707
35,3.25,1.146,1.007,0.0270,23.40,18.928,16.52,0.706
40,3.20,1.128,1.007,0.0274,24.10,19.165,17.00,0.705
45,3.15,1.110,1.007,0.0277,24.80,19.401,17.48,0.705
50,3.10,1.093,1.007,0.0281,25.52,19.635,17.97,0.704
55,3.05,1.076,1.008,0.0284,26.24,19.868,18.47,0.704
60,3.01,1.060,1.008,0.0288,26.97,20.099,18.97,0.703
65,2.96,1.044,1.008,0.0292,27.70,20.329,19.47,0.703
70,2.92,1.029,1.009,0.0295,28.45,20.557,19.98,0.702
75,2.88,1.014,1.009,0.0299,29.20,20.784,20.50,0.702
80,2.84,1.000,1.010,0.0302,29.96,21.009,21.02,0.702
85,2.80,0.986,1.010,0.0306,30.72,21.233,21.54,0.701
90,2.76,0.972,1.010,0.0309,31.49,21.455,22.07,0.701
95,2.72,0.959,1.011,0.0313,32.27,21.677,22.61,0.701
100,2.68,0.946,1.011,0.0316,33.06,21.896,23.15,0.700
105,2.65,0.933,1.012,0.0320,33.85,22.115,23.69,0.700
110,2.61,0.921,1.012,0.0323,34.65,22.332,24.24,0.700
115,2.58,0.909,1.013,0.0326,35.45,22.548,24.80,0.699
120,2.55,0.898,1.013,0.0330,36.27,22.763,25.36,0.699
125,2.51,0.886,1.014,0.0333,37.08,22.977,25.92,0.699
130,2.48,0.875,1.015,0.0337,37.91,23.189,26.49,0.699
135,2.45,0.865,1.015,0.0340,38.74,23.4,27.06,0.699
140,2.42,0.854,1.016,0.0343,39.57,23.61,27.64,0.698
145,2.39,0.844,1.016,0.0347,40.41,23.819,28.22,0.698
150,2.37,0.834,1.017,0.0350,41.26,24.027,28.81,0.698
155,2.34,0.824,1.018,0.0353,42.11,24.234,29.40,0.698
160,2.31,0.815,1.019,0.0357,42.97,24.439,30.00,0.698
165,2.28,0.805,1.019,0.0360,43.84,24.644,30.60,0.698
170,2.26,0.796,1.020,0.0363,44.71,24.847,31.20,0.698
175,2.23,0.787,1.021,0.0366,45.58,25.049,31.81,0.698
180,2.21,0.779,1.022,0.0370,46.46,25.251,32.43,0.698
185,2.18,0.770,1.022,0.0373,47.35,25.451,33.04,0.698
190,2.16,0.762,1.023,0.0376,48.24,25.65,33.67,0.698
195,2.14,0.754,1.024,0.0379,49.14,25.849,34.29,0.698
200,2.11,0.746,1.025,0.0382,50.04,26.046,34.92,0.698
205,2.09,0.738,1.026,0.0386,50.94,26.243,35.56,0.698
210,2.07,0.730,1.027,0.0389,51.85,26.438,36.20,0.698
215,2.05,0.723,1.028,0.0392,52.77,26.633,36.84,0.698
220,2.03,0.716,1.029,0.0395,53.69,26.826,37.49,0.698
225,2.01,0.708,1.030,0.0398,54.61,27.019,38.14,0.698
230,1.99,0.701,1.031,0.0401,55.54,27.211,38.80,0.699
235,1.97,0.694,1.031,0.0405,56.48,27.402,39.46,0.699
240,1.95,0.688,1.032,0.0408,57.42,27.592,40.13,0.699
245,1.93,0.681,1.033,0.0411,58.36,27.781,40.79,0.699
250,1.91,0.675,1.034,0.0414,59.31,27.97,41.47,0.699
